Timestamp,Participant ID,Which System did you find easier to understand?,What was the main difference between System A and System B?,Why did you prefer that system?,How mentally demanding was each system?  [System A],How mentally demanding was each system?  [System B],"If this AI assistant was available as an app, how likely would you use it? ",What did you LIKE about the progressive/adaptive display? ,What did you DISLIKE about the static/detailed display?,Did you experience any technical issues? ,Age,How tech-savvy do you consider yourself?,"How often do you use AI tools like ChatGPT, Claude, etc?",Any other feedback?
11/10/2025 7:50:41,P1762778408604,Both were equally easy,How they displayed confidence information,,Low,Low,5,,,,25-34,2,Weekly,
11/10/2025 9:31:57,P1762784584837,System A,The restaurants they recommended,It’s recommendations were more accurate. Both higher confidence by AI and also a better match to my preferences ,Low,Low,2,"Colors, categorical choices (drop in menus)","Confidence level could be nonsense. It was a fake number and reduced my trust in the system. Also, the display was off-margin in phone display.",,25-34,5,Daily,Nope
11/10/2025 11:21:21,P1762788749929,System B,The accuracy of predictions,Its suggestions matched my request and also added a new suggestion that I found interesting.,Medium,Medium,3,Match percentage in huge font,,No,25-34,4,Daily,
11/10/2025 15:33:18,P1762806191644,System A,How they displayed confidence information,,Low,Very Low,5,,,,25-34,4,Daily,
11/10/2025 21:49:52,P1762828792941,System B,How they displayed confidence information,Easier to get help,Low,High,4,Clearness,Useless and uncertain information,no,25-34,4,Daily,
11/11/2025 15:44:29,P1762892098453,Both were equally easy,How they displayed confidence information,Mostly because it seemed the comments were matching my preferences more!,High,High,4,giving the information like a summary of the reviews with bulletpoints :),It was only considering my initial preferences and wasn't taking the scenarios into consideration.,no,25-34,5,Daily,I think it mostly needs more training and I'd say it can start considering both the client's preferences and the reason they need to find a place for!
11/16/2025 14:08:43,P1763319687099,System A,How they displayed confidence information,,Medium,Low,4,,,,25-34,5,Daily,
11/16/2025 14:48:38,P1763322316544,System B,How they displayed confidence information,It explains the restaurant very well,Medium,Medium,5,I can figure out why the AI likes/doesn't like a restaurant and see if I also have those constraints when choosing one. ,,No.,18-24,5,Daily,
11/28/2025 12:52:10,P1764352217441,System B,How they displayed confidence information,,Medium,Medium,,,,,18-24,5,Daily,
